id,claim,source,confidence,unresolved_question
E01,"Route A preserves more native WK1 driveline geometry than Route B","sources/WK1_Free_Only_Feasibility_Sprint.md",High,"Confirm stock crank/bellhousing/NV146 output coordinates on the actual vehicle"
E02,"WK1 baseline uses 3.73 final drive with 200-mm front and 226-mm rear differential families","Free-Only Feasibility Sprint + factory/Dana references",High,"Verify project-vehicle axle tags/BOMs and condition"
E03,"Existing public WK1 GLB mechanical nodes are not fabrication-grade","sources/WK1_Digital_Build_Asset_Map.md",High,"Replacement geometry must be independently verified"
E04,"8HP95 Trackhawk dimensional references do not establish MP3015C installed geometry","Free-Only Feasibility Sprint + Asset Map",High,"Measure actual donor assembly if Route B is reopened"
E05,"Route B requires donor measurement and bench-validation before fabrication release","sources/WK1_Route_B_Build_Book.md",High,"Close G00-G05 on actual hardware"
E06,"2008 WK and Trackhawk CAN compatibility must not be assumed","sources/WK1_Route_B_Build_Book.md",High,"Bench-validate donor-specific PCM/TCM/DTCM/security/chassis-state dependencies"
E07,"Sound German is a credible 8HP integration lead but complete MP3015C/DTCM + WK1 ABS/traction integration is not publicly proven","sources/Trackhawk_8HP95_Feasibility_Research.md + Route B Build Book",Medium-High,"Direct vendor confirmation or bench proof for exact combination"
E08,"At least one observed Hellcat-WK1 build retained stock 6.1 mounts and WK1 ECU/harness strategy with crank-trigger/VVT changes","docs/OBSERVED_BUILD_EVIDENCE.md",Medium,"Power; NV146 configuration; mileage; launch duty; durability unknown"
E09,"850-WHP Route A should use max-effort NAG1 hardware class rather than a stage label","sources/WK1_850_WHP_Reliability_Build_Investigation.md",Medium-High,"Written BOM; clearances; planetary inspection; calibration compatibility"
E10,"Built NV146 should be installed before full 850-WHP calibration","sources/WK1_850_WHP_Reliability_Build_Investigation.md",Medium-High,"Exact long-term survival at target duty remains unproven"
E11,"Both driveshafts and rear axle shafts should be upgraded before full-power commissioning","sources/WK1_850_WHP_Reliability_Build_Investigation.md",Medium-High,"Final dimensions; joints; critical-speed margin; balance by vendor"
E12,"Stock-size front differential/CV architecture can be retained initially after inspection","sources/WK1_850_WHP_Reliability_Build_Investigation.md",Medium,"No public proof of unlimited 850-WHP launch durability"
E13,"Stock 226-mm rear housing/3.73 gearset can be retained with refresh while LSD and axles are upgraded","sources/WK1_850_WHP_Reliability_Build_Investigation.md",Medium,"Ring-and-pinion/housing remain likely weak point"
E14,"850-WHP reliability depends strongly on low-gear torque management; WOT shift reduction; heat control; and launch limits","sources/WK1_850_WHP_Reliability_Build_Investigation.md",Medium-High,"Final torque caps must be validated by logs with tuner/controller/transmission builder"
E15,"Current verdict is YELLOW for 800-850 WHP street pulls and occasional controlled drag-radial launches","sources/WK1_850_WHP_Reliability_Build_Investigation.md",Medium-High,"Accumulate real project mileage; thermal logs; fluid inspections; launch history"
E16,"Target drivetrain budget is about $19.4k-$23k before installation and $23.4k-$31k installed/validated if outsourced","sources/WK1_850_WHP_Reliability_Build_Investigation.md",Medium,"Requote current vendors; shipping; core; tax; labor"
E17,"Final fabrication dimensions must come from direct measurement rather than forum values or proxy models","Asset Map + Free-Only Sprint + Route B Build Book",High,"Close every MEASURE gate before part release"
